segment_id,event_id,segment_label,exposure_proxy,exposure_proxy_unit,buffer_m,store_source_date,store_source_sha256,geometry_confidence,mapping_confidence,calculation
djtram-z01-ae5876728c09,tram-z01-01,계족로 상행(법동영진아파트삼거리),69,active_store_count_within_250m,250,2026-03-31,ad252b91748ca35889370fe664326fa6acc145457252f77c031b13e92201c470,medium,medium,EPSG:5186 point-to-event-geometry distance
djtram-z01-b199e8cb7b67,tram-z01-01,계족로 하행(법동영진아파트삼거리),69,active_store_count_within_250m,250,2026-03-31,ad252b91748ca35889370fe664326fa6acc145457252f77c031b13e92201c470,medium,medium,EPSG:5186 point-to-event-geometry distance
djtram-z01-9c175d9bbb69,tram-z01-01,계족로 상행(법동영진아파트삼거리),69,active_store_count_within_250m,250,2026-03-31,ad252b91748ca35889370fe664326fa6acc145457252f77c031b13e92201c470,medium,medium,EPSG:5186 point-to-event-geometry distance
djtram-z01-d9d62f55a5ed,tram-z01-01,계족로 하행(법동영진아파트삼거리),69,active_store_count_within_250m,250,2026-03-31,ad252b91748ca35889370fe664326fa6acc145457252f77c031b13e92201c470,medium,medium,EPSG:5186 point-to-event-geometry distance
djtram-z01-2475bde4126f,tram-z01-02,계족로 상행(읍내삼거리),12,active_store_count_within_250m,250,2026-03-31,ad252b91748ca35889370fe664326fa6acc145457252f77c031b13e92201c470,high,high,EPSG:5186 point-to-event-geometry distance
djtram-z01-33c91c040219,tram-z01-02,계족로 하행(읍내삼거리),12,active_store_count_within_250m,250,2026-03-31,ad252b91748ca35889370fe664326fa6acc145457252f77c031b13e92201c470,high,high,EPSG:5186 point-to-event-geometry distance
djtram-z12-4b979e77cec3,tram-z12-01,계백로 하행(서대전역네거리),994,active_store_count_within_250m,250,2026-03-31,ad252b91748ca35889370fe664326fa6acc145457252f77c031b13e92201c470,high,medium,EPSG:5186 point-to-event-geometry distance
djtram-z12-517b6a934e1f,tram-z12-01,계백로 상행(서대전역네거리),994,active_store_count_within_250m,250,2026-03-31,ad252b91748ca35889370fe664326fa6acc145457252f77c031b13e92201c470,high,medium,EPSG:5186 point-to-event-geometry distance
djtram-z12-58593bc6f2cc,tram-z12-01,계백로 상행(서대전역네거리),994,active_store_count_within_250m,250,2026-03-31,ad252b91748ca35889370fe664326fa6acc145457252f77c031b13e92201c470,high,medium,EPSG:5186 point-to-event-geometry distance
djtram-z12-ff55812e319a,tram-z12-01,계백로 하행(서대전역네거리),994,active_store_count_within_250m,250,2026-03-31,ad252b91748ca35889370fe664326fa6acc145457252f77c031b13e92201c470,high,medium,EPSG:5186 point-to-event-geometry distance
